OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,LocalAqfrName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
CBP_WQX,Chesapeake Bay Program (CBP),CBP_WQX-21-303,21-303,River/Stream,,02060006,,,,,38.8921400000,-76.8521800000,,,,GPS-Unspecified,NAD83,,,,,,,US,24,033,,,,,,,,,,STORET
CBP_WQX,Chesapeake Bay Program (CBP),CBP_WQX-21-304,21-304,River/Stream,,02060006,,,,,38.8779700000,-76.8319300000,,,,GPS-Unspecified,NAD83,,,,,,,US,24,033,,,,,,,,,,STORET
CBP_WQX,Chesapeake Bay Program (CBP),CBP_WQX-21-305,21-305,River/Stream,,02060006,,,,,38.8711400000,-76.8577300000,,,,GPS-Unspecified,NAD83,,,,,,,US,24,033,,,,,,,,,,STORET
CBP_WQX,Chesapeake Bay Program (CBP),CBP_WQX-21-306,21-306,River/Stream,,02060006,,,,,38.8760300000,-76.8599900000,,,,GPS-Unspecified,NAD83,,,,,,,US,24,033,,,,,,,,,,STORET
CBP_WQX,Chesapeake Bay Program (CBP),CBP_WQX-21-308,21-308,River/Stream,,02060006,,,,,38.8752100000,-76.8172200000,,,,GPS-Unspecified,NAD83,,,,,,,US,24,033,,,,,,,,,,STORET
CBP_WQX,Chesapeake Bay Program (CBP),CBP_WQX-22-003,22-003,River/Stream,,02070010,,,,,38.8866700000,-76.9090000000,,,,GPS-Unspecified,NAD83,,,,,,,US,24,033,,,,,,,,,,STORET
CBP_WQX,Chesapeake Bay Program (CBP),CBP_WQX-22-004,22-004,River/Stream,,02070010,,,,,38.8708900000,-76.9054400000,,,,GPS-Unspecified,NAD83,,,,,,,US,24,033,,,,,,,,,,STORET
CBP_WQX,Chesapeake Bay Program (CBP),CBP_WQX-22-005,22-005,River/Stream,,02070010,,,,,38.8773800000,-76.9051400000,,,,GPS-Unspecified,NAD83,,,,,,,US,24,033,,,,,,,,,,STORET
CBP_WQX,Chesapeake Bay Program (CBP),CBP_WQX-22-005A,22-005A,River/Stream,,02070010,,,,,38.8824200000,-76.9073300000,,,,GPS-Unspecified,NAD83,,,,,,,US,24,033,,,,,,,,,,STORET
CBP_WQX,Chesapeake Bay Program (CBP),CBP_WQX-22222,22222,River/Stream,,02060006,,,,,38.5607000000,-76.6779000000,,,,GPS-Unspecified,NAD83,,,,,,,US,24,033,,,,,,,,,,STORET
CBP_WQX,Chesapeake Bay Program (CBP),CBP_WQX-22223,22223,River/Stream,,02060006,,,,,38.7106000000,-76.7027000000,,,,GPS-Unspecified,NAD83,,,,,,,US,24,033,,,,,,,,,,STORET
CBP_WQX,Chesapeake Bay Program (CBP),CBP_WQX-22224,22224,River/Stream,,02060006,,,,,38.7381000000,-76.6845000000,,,,GPS-Unspecified,NAD83,,,,,,,US,24,033,,,,,,,,,,STORET
CBP_WQX,Chesapeake Bay Program (CBP),CBP_WQX-22225,22225,River/Stream,,02060006,,,,,38.7420000000,-76.6847000000,,,,GPS-Unspecified,NAD83,,,,,,,US,24,033,,,,,,,,,,STORET
CBP_WQX,Chesapeake Bay Program (CBP),CBP_WQX-22-302,22-302,River/Stream,,02070010,,,,,38.8850200000,-76.9082800000,,,,GPS-Unspecified,NAD83,,,,,,,US,24,033,,,,,,,,,,STORET
CBP_WQX,Chesapeake Bay Program (CBP),CBP_WQX-23-008C,23-008C,River/Stream,,02070010,,,,,38.8290800000,-76.9710600000,,,,GPS-Unspecified,NAD83,,,,,,,US,24,033,,,,,,,,,,STORET
CBP_WQX,Chesapeake Bay Program (CBP),CBP_WQX-23-008D,23-008D,River/Stream,,02070010,,,,,38.8269700000,-76.9618600000,,,,GPS-Unspecified,NAD83,,,,,,,US,24,033,,,,,,,,,,STORET
CBP_WQX,Chesapeake Bay Program (CBP),CBP_WQX-23-008E,23-008E,River/Stream,,02070010,,,,,38.8270800000,-76.9579400000,,,,GPS-Unspecified,NAD83,,,,,,,US,24,033,,,,,,,,,,STORET
CBP_WQX,Chesapeake Bay Program (CBP),CBP_WQX-23-009A,23-009A,River/Stream,,02070010,,,,,38.8237500000,-76.9933300000,,,,GPS-Unspecified,NAD83,,,,,,,US,24,033,,,,,,,,,,STORET
CBP_WQX,Chesapeake Bay Program (CBP),CBP_WQX-23-009B,23-009B,River/Stream,,02070010,,,,,38.8215300000,-76.9894000000,,,,GPS-Unspecified,NAD83,,,,,,,US,24,033,,,,,,,,,,STORET
CBP_WQX,Chesapeake Bay Program (CBP),CBP_WQX-23-201,23-201,River/Stream,,02070010,,,,,38.8445500000,-76.9680600000,,,,GPS-Unspecified,NAD83,,,,,,,US,24,033,,,,,,,,,,STORET
CBP_WQX,Chesapeake Bay Program (CBP),CBP_WQX-23-202,23-202,River/Stream,,02070010,,,,,38.8295600000,-76.9728600000,,,,GPS-Unspecified,NAD83,,,,,,,US,24,033,,,,,,,,,,STORET
CBP_WQX,Chesapeake Bay Program (CBP),CBP_WQX-23-203,23-203,River/Stream,,02070010,,,,,38.8144900000,-76.9763600000,,,,GPS-Unspecified,NAD83,,,,,,,US,24,033,,,,,,,,,,STORET
CBP_WQX,Chesapeake Bay Program (CBP),CBP_WQX-23-204,23-204,River/Stream,,02060006,,,,,38.8707200000,-76.8704100000,,,,GPS-Unspecified,NAD83,,,,,,,US,24,033,,,,,,,,,,STORET
CBP_WQX,Chesapeake Bay Program (CBP),CBP_WQX-23-213,23-213,River/Stream,,02070010,,,,,38.8242400000,-76.9945400000,,,,GPS-Unspecified,NAD83,,,,,,,US,24,033,,,,,,,,,,STORET
CBP_WQX,Chesapeake Bay Program (CBP),CBP_WQX-23225,23225,River/Stream,,02060006,,,,,38.7344000000,-76.6954000000,,,,GPS-Unspecified,NAD83,,,,,,,US,24,033,,,,,,,,,,STORET
CBP_WQX,Chesapeake Bay Program (CBP),CBP_WQX-23-301,23-301,River/Stream,,02070010,,,,,38.8155900000,-76.9809600000,,,,GPS-Unspecified,NAD83,,,,,,,US,24,033,,,,,,,,,,STORET
CBP_WQX,Chesapeake Bay Program (CBP),CBP_WQX-23-303,23-303,River/Stream,,02070010,,,,,38.8616700000,-76.9432100000,,,,GPS-Unspecified,NAD83,,,,,,,US,24,033,,,,,,,,,,STORET
CBP_WQX,Chesapeake Bay Program (CBP),CBP_WQX-23-305,23-305,River/Stream,,02070010,,,,,38.8148500000,-76.9781600000,,,,GPS-Unspecified,NAD83,,,,,,,US,24,033,,,,,,,,,,STORET
CBP_WQX,Chesapeake Bay Program (CBP),CBP_WQX-23-307,23-307,River/Stream,,02070010,,,,,38.8627900000,-76.9403800000,,,,GPS-Unspecified,NAD83,,,,,,,US,24,033,,,,,,,,,,STORET
CBP_WQX,Chesapeake Bay Program (CBP),CBP_WQX-24-002,24-002,River/Stream,,02070010,,,,,38.7789800000,-76.9983400000,,,,GPS-Unspecified,NAD83,,,,,,,US,24,033,,,,,,,,,,STORET
CBP_WQX,Chesapeake Bay Program (CBP),CBP_WQX-24-003,24-003,River/Stream,,02070010,,,,,38.7889400000,-76.9966700000,,,,GPS-Unspecified,NAD83,,,,,,,US,24,033,,,,,,,,,,STORET
CBP_WQX,Chesapeake Bay Program (CBP),CBP_WQX-24-007,24-007,River/Stream,,02070010,,,,,38.7878300000,-76.9767800000,,,,GPS-Unspecified,NAD83,,,,,,,US,24,033,,,,,,,,,,STORET
CBP_WQX,Chesapeake Bay Program (CBP),CBP_WQX-24-009,24-009,River/Stream,,02070010,,,,,38.7921800000,-76.9670600000,,,,GPS-Unspecified,NAD83,,,,,,,US,24,033,,,,,,,,,,STORET
CBP_WQX,Chesapeake Bay Program (CBP),CBP_WQX-24-011,24-011,River/Stream,,02070010,,,,,38.7882800000,-76.9606400000,,,,GPS-Unspecified,NAD83,,,,,,,US,24,033,,,,,,,,,,STORET
CBP_WQX,Chesapeake Bay Program (CBP),CBP_WQX-24-016,24-016,River/Stream,,02070010,,,,,38.8000000000,-76.9431900000,,,,GPS-Unspecified,NAD83,,,,,,,US,24,033,,,,,,,,,,STORET
CBP_WQX,Chesapeake Bay Program (CBP),CBP_WQX-24-019,24-019,River/Stream,,02070010,,,,,38.8036900000,-76.9440800000,,,,GPS-Unspecified,NAD83,,,,,,,US,24,033,,,,,,,,,,STORET
CBP_WQX,Chesapeake Bay Program (CBP),CBP_WQX-24-020,24-020,River/Stream,,02070010,,,,,38.8086100000,-76.9370900000,,,,GPS-Unspecified,NAD83,,,,,,,US,24,033,,,,,,,,,,STORET
CBP_WQX,Chesapeake Bay Program (CBP),CBP_WQX-24-029,24-029,River/Stream,,02070010,,,,,38.8311000000,-76.9060400000,,,,GPS-Unspecified,NAD83,,,,,,,US,24,033,,,,,,,,,,STORET
CBP_WQX,Chesapeake Bay Program (CBP),CBP_WQX-24-033,24-033,River/Stream,,02070010,,,,,38.8390600000,-76.8985800000,,,,GPS-Unspecified,NAD83,,,,,,,US,24,033,,,,,,,,,,STORET
CBP_WQX,Chesapeake Bay Program (CBP),CBP_WQX-24-039,24-039,River/Stream,,02070010,,,,,38.8039700000,-76.9413300000,,,,GPS-Unspecified,NAD83,,,,,,,US,24,033,,,,,,,,,,STORET
CBP_WQX,Chesapeake Bay Program (CBP),CBP_WQX-24-041,24-041,River/Stream,,02070010,,,,,38.8060100000,-76.9351400000,,,,GPS-Unspecified,NAD83,,,,,,,US,24,033,,,,,,,,,,STORET
CBP_WQX,Chesapeake Bay Program (CBP),CBP_WQX-24125,24125,River/Stream,,02070010,,,,,38.7873000000,-77.0340000000,,,,GPS-Unspecified,NAD83,,,,,,,US,24,033,,,,,,,,,,STORET
CBP_WQX,Chesapeake Bay Program (CBP),CBP_WQX-24-201,24-201,River/Stream,,02070010,,,,,38.8052500000,-76.9376700000,,,,GPS-Unspecified,NAD83,,,,,,,US,24,033,,,,,,,,,,STORET
CBP_WQX,Chesapeake Bay Program (CBP),CBP_WQX-24-202,24-202,River/Stream,,02070010,,,,,38.8292400000,-76.8807400000,,,,GPS-Unspecified,NAD83,,,,,,,US,24,033,,,,,,,,,,STORET
CBP_WQX,Chesapeake Bay Program (CBP),CBP_WQX-24-203,24-203,River/Stream,,02070010,,,,,38.8042700000,-76.9400300000,,,,GPS-Unspecified,NAD83,,,,,,,US,24,033,,,,,,,,,,STORET
CBP_WQX,Chesapeake Bay Program (CBP),CBP_WQX-24-204,24-204,River/Stream,,02070010,,,,,38.8249700000,-76.9019500000,,,,GPS-Unspecified,NAD83,,,,,,,US,24,033,,,,,,,,,,STORET
CBP_WQX,Chesapeake Bay Program (CBP),CBP_WQX-24-213,24-213,River/Stream,,02070010,,,,,38.7852500000,-76.9822900000,,,,GPS-Unspecified,NAD83,,,,,,,US,24,033,,,,,,,,,,STORET
CBP_WQX,Chesapeake Bay Program (CBP),CBP_WQX-24-214,24-214,River/Stream,,02070010,,,,,38.7859800000,-76.9813800000,,,,GPS-Unspecified,NAD83,,,,,,,US,24,033,,,,,,,,,,STORET
CBP_WQX,Chesapeake Bay Program (CBP),CBP_WQX-24-215,24-215,River/Stream,,02070010,,,,,38.8309900000,-76.9217100000,,,,GPS-Unspecified,NAD83,,,,,,,US,24,033,,,,,,,,,,STORET
CBP_WQX,Chesapeake Bay Program (CBP),CBP_WQX-24-222,24-222,River/Stream,,02070010,,,,,38.7615000000,-77.0007500000,,,,GPS-Unspecified,NAD83,,,,,,,US,24,033,,,,,,,,,,STORET
CBP_WQX,Chesapeake Bay Program (CBP),CBP_WQX-24224,24224,River/Stream,,02060006,,,,,38.5918000000,-76.6791000000,,,,GPS-Unspecified,NAD83,,,,,,,US,24,033,,,,,,,,,,STORET
CBP_WQX,Chesapeake Bay Program (CBP),CBP_WQX-24226,24226,River/Stream,,02060006,,,,,38.5558000000,-76.6812000000,,,,GPS-Unspecified,NAD83,,,,,,,US,24,033,,,,,,,,,,STORET
CBP_WQX,Chesapeake Bay Program (CBP),CBP_WQX-24-301,24-301,River/Stream,,02070010,,,,,38.8339000000,-76.9151900000,,,,GPS-Unspecified,NAD83,,,,,,,US,24,033,,,,,,,,,,STORET
CBP_WQX,Chesapeake Bay Program (CBP),CBP_WQX-24-302,24-302,River/Stream,,02070010,,,,,38.8254200000,-76.9024200000,,,,GPS-Unspecified,NAD83,,,,,,,US,24,033,,,,,,,,,,STORET
CBP_WQX,Chesapeake Bay Program (CBP),CBP_WQX-24-303,24-303,River/Stream,,02070010,,,,,38.8133700000,-76.9332400000,,,,GPS-Unspecified,NAD83,,,,,,,US,24,033,,,,,,,,,,STORET
CBP_WQX,Chesapeake Bay Program (CBP),CBP_WQX-24-305,24-305,River/Stream,,02070010,,,,,38.8333300000,-76.9161100000,,,,GPS-Unspecified,NAD83,,,,,,,US,24,033,,,,,,,,,,STORET
CBP_WQX,Chesapeake Bay Program (CBP),CBP_WQX-24-306,24-306,River/Stream,,02070010,,,,,38.7880000000,-76.9514000000,,,,GPS-Unspecified,NAD83,,,,,,,US,24,033,,,,,,,,,,STORET
CBP_WQX,Chesapeake Bay Program (CBP),CBP_WQX-24-307,24-307,River/Stream,,02070010,,,,,38.8115000000,-76.9272600000,,,,GPS-Unspecified,NAD83,,,,,,,US,24,033,,,,,,,,,,STORET
CBP_WQX,Chesapeake Bay Program (CBP),CBP_WQX-24-312,24-312,River/Stream,,02070010,,,,,38.7616500000,-77.0004000000,,,,GPS-Unspecified,NAD83,,,,,,,US,24,033,,,,,,,,,,STORET
CBP_WQX,Chesapeake Bay Program (CBP),CBP_WQX-25-002A,25-002A,River/Stream,,02070010,,,,,38.7237600000,-76.9687900000,,,,GPS-Unspecified,NAD83,,,,,,,US,24,033,,,,,,,,,,STORET
CBP_WQX,Chesapeake Bay Program (CBP),CBP_WQX-25-002B,25-002B,River/Stream,,02070010,,,,,38.7239100000,-76.9680100000,,,,GPS-Unspecified,NAD83,,,,,,,US,24,033,,,,,,,,,,STORET
CBP_WQX,Chesapeake Bay Program (CBP),CBP_WQX-25-003,25-003,River/Stream,,02070010,,,,,38.7322900000,-76.9688600000,,,,GPS-Unspecified,NAD83,,,,,,,US,24,033,,,,,,,,,,STORET
CBP_WQX,Chesapeake Bay Program (CBP),CBP_WQX-25-005,25-005,River/Stream,,02070010,,,,,38.7436100000,-76.9593300000,,,,GPS-Unspecified,NAD83,,,,,,,US,24,033,,,,,,,,,,STORET
CBP_WQX,Chesapeake Bay Program (CBP),CBP_WQX-25-013C,25-013C,River/Stream,,02070010,,,,,38.7729200000,-76.8993600000,,,,GPS-Unspecified,NAD83,,,,,,,US,24,033,,,,,,,,,,STORET
CBP_WQX,Chesapeake Bay Program (CBP),CBP_WQX-25-017,25-017,River/Stream,,02070010,,,,,38.7735300000,-76.9356800000,,,,GPS-Unspecified,NAD83,,,,,,,US,24,033,,,,,,,,,,STORET
CBP_WQX,Chesapeake Bay Program (CBP),CBP_WQX-25-020A,25-020A,River/Stream,,02070010,,,,,38.7839000000,-76.9221000000,,,,GPS-Unspecified,NAD83,,,,,,,US,24,033,,,,,,,,,,STORET
CBP_WQX,Chesapeake Bay Program (CBP),CBP_WQX-25-020B,25-020B,River/Stream,,02070010,,,,,38.7863500000,-76.9151400000,,,,GPS-Unspecified,NAD83,,,,,,,US,24,033,,,,,,,,,,STORET
CBP_WQX,Chesapeake Bay Program (CBP),CBP_WQX-25-020C,25-020C,River/Stream,,02070010,,,,,38.7882200000,-76.9097300000,,,,GPS-Unspecified,NAD83,,,,,,,US,24,033,,,,,,,,,,STORET
CBP_WQX,Chesapeake Bay Program (CBP),CBP_WQX-25-021,25-021,River/Stream,,02070010,,,,,38.7896100000,-76.9036100000,,,,GPS-Unspecified,NAD83,,,,,,,US,24,033,,,,,,,,,,STORET
CBP_WQX,Chesapeake Bay Program (CBP),CBP_WQX-25-024,25-024,River/Stream,,02070010,,,,,38.8103800000,-76.8899100000,,,,GPS-Unspecified,NAD83,,,,,,,US,24,033,,,,,,,,,,STORET
CBP_WQX,Chesapeake Bay Program (CBP),CBP_WQX-25125,25125,River/Stream,,02070010,,,,,38.7647000000,-77.0314000000,,,,GPS-Unspecified,NAD83,,,,,,,US,24,033,,,,,,,,,,STORET
CBP_WQX,Chesapeake Bay Program (CBP),CBP_WQX-25-201,25-201,River/Stream,,02070010,,,,,38.7240000000,-76.9621000000,,,,GPS-Unspecified,NAD83,,,,,,,US,24,033,,,,,,,,,,STORET
CBP_WQX,Chesapeake Bay Program (CBP),CBP_WQX-25-202,25-202,River/Stream,,02070010,,,,,38.7738900000,-76.8981400000,,,,GPS-Unspecified,NAD83,,,,,,,US,24,033,,,,,,,,,,STORET
CBP_WQX,Chesapeake Bay Program (CBP),CBP_WQX-25-203,25-203,River/Stream,,02070010,,,,,38.7238400000,-76.9588500000,,,,GPS-Unspecified,NAD83,,,,,,,US,24,033,,,,,,,,,,STORET
CBP_WQX,Chesapeake Bay Program (CBP),CBP_WQX-25-204,25-204,River/Stream,,02070010,,,,,38.7723200000,-76.9010600000,,,,GPS-Unspecified,NAD83,,,,,,,US,24,033,,,,,,,,,,STORET
CBP_WQX,Chesapeake Bay Program (CBP),CBP_WQX-25-213,25-213,River/Stream,,02070010,,,,,38.7129700000,-76.9706000000,,,,GPS-Unspecified,NAD83,,,,,,,US,24,033,,,,,,,,,,STORET
CBP_WQX,Chesapeake Bay Program (CBP),CBP_WQX-25-214,25-214,River/Stream,,02070010,,,,,38.7422900000,-76.9624300000,,,,GPS-Unspecified,NAD83,,,,,,,US,24,033,,,,,,,,,,STORET
CBP_WQX,Chesapeake Bay Program (CBP),CBP_WQX-25-215,25-215,River/Stream,,02070010,,,,,38.7556000000,-76.9474300000,,,,GPS-Unspecified,NAD83,,,,,,,US,24,033,,,,,,,,,,STORET
CBP_WQX,Chesapeake Bay Program (CBP),CBP_WQX-25221,25221,River/Stream,,02060006,,,,,38.5399000000,-76.6803000000,,,,GPS-Unspecified,NAD83,,,,,,,US,24,033,,,,,,,,,,STORET
CBP_WQX,Chesapeake Bay Program (CBP),CBP_WQX-25223,25223,River/Stream,,02060006,,,,,38.5716000000,-76.6803000000,,,,GPS-Unspecified,NAD83,,,,,,,US,24,033,,,,,,,,,,STORET
CBP_WQX,Chesapeake Bay Program (CBP),CBP_WQX-25224,25224,River/Stream,,02060006,,,,,38.7312000000,-76.6965000000,,,,GPS-Unspecified,NAD83,,,,,,,US,24,033,,,,,,,,,,STORET
CBP_WQX,Chesapeake Bay Program (CBP),CBP_WQX-25-301,25-301,River/Stream,,02070010,,,,,38.7588900000,-76.9346000000,,,,GPS-Unspecified,NAD83,,,,,,,US,24,033,,,,,,,,,,STORET
CBP_WQX,Chesapeake Bay Program (CBP),CBP_WQX-25-302,25-302,River/Stream,,02070010,,,,,38.7674300000,-76.9186600000,,,,GPS-Unspecified,NAD83,,,,,,,US,24,033,,,,,,,,,,STORET
CBP_WQX,Chesapeake Bay Program (CBP),CBP_WQX-25-304,25-304,River/Stream,,02070010,,,,,38.7746200000,-76.8966400000,,,,GPS-Unspecified,NAD83,,,,,,,US,24,033,,,,,,,,,,STORET
CBP_WQX,Chesapeake Bay Program (CBP),CBP_WQX-25-305,25-305,River/Stream,,02070010,,,,,38.7509000000,-76.9512300000,,,,GPS-Unspecified,NAD83,,,,,,,US,24,033,,,,,,,,,,STORET
CBP_WQX,Chesapeake Bay Program (CBP),CBP_WQX-25-306,25-306,River/Stream,,02070010,,,,,38.7844300000,-76.9209400000,,,,GPS-Unspecified,NAD83,,,,,,,US,24,033,,,,,,,,,,STORET
CBP_WQX,Chesapeake Bay Program (CBP),CBP_WQX-25-308,25-308,River/Stream,,02070010,,,,,38.7681600000,-76.9135100000,,,,GPS-Unspecified,NAD83,,,,,,,US,24,033,,,,,,,,,,STORET
CBP_WQX,Chesapeake Bay Program (CBP),CBP_WQX-26-002,26-002,River/Stream,,02070010,,,,,38.7528100000,-77.0185000000,,,,GPS-Unspecified,NAD83,,,,,,,US,24,033,,,,,,,,,,STORET
CBP_WQX,Chesapeake Bay Program (CBP),CBP_WQX-26223,26223,River/Stream,,02060006,,,,,38.6237800000,-76.6771000000,,,,GPS-Unspecified,NAD83,,,,,,,US,24,033,,,,,,,,,,STORET
CBP_WQX,Chesapeake Bay Program (CBP),CBP_WQX-26224,26224,River/Stream,,02060006,,,,,38.6939600000,-76.7020000000,,,,GPS-Unspecified,NAD83,,,,,,,US,24,033,,,,,,,,,,STORET
CBP_WQX,Chesapeake Bay Program (CBP),CBP_WQX-26225,26225,River/Stream,,02060006,,,,,38.7280500000,-76.6955000000,,,,GPS-Unspecified,NAD83,,,,,,,US,24,033,,,,,,,,,,STORET
CBP_WQX,Chesapeake Bay Program (CBP),CBP_WQX-26-301,26-301,River/Stream,,02070010,,,,,38.7677700000,-77.0131300000,,,,GPS-Unspecified,NAD83,,,,,,,US,24,033,,,,,,,,,,STORET
CBP_WQX,Chesapeake Bay Program (CBP),CBP_WQX-27-006,27-006,River/Stream,,02070010,,,,,38.6933900000,-76.9795000000,,,,GPS-Unspecified,NAD83,,,,,,,US,24,033,,,,,,,,,,STORET
CBP_WQX,Chesapeake Bay Program (CBP),CBP_WQX-27-008,27-008,River/Stream,,02070010,,,,,38.6911100000,-76.9744700000,,,,GPS-Unspecified,NAD83,,,,,,,US,24,033,,,,,,,,,,STORET
CBP_WQX,Chesapeake Bay Program (CBP),CBP_WQX-27-009,27-009,River/Stream,,02070010,,,,,38.6798300000,-76.9513900000,,,,GPS-Unspecified,NAD83,,,,,,,US,24,033,,,,,,,,,,STORET
CBP_WQX,Chesapeake Bay Program (CBP),CBP_WQX-27-012,27-012,River/Stream,,02070010,,,,,38.6919500000,-76.9506000000,,,,GPS-Unspecified,NAD83,,,,,,,US,24,033,,,,,,,,,,STORET
CBP_WQX,Chesapeake Bay Program (CBP),CBP_WQX-27-019,27-019,River/Stream,,02070010,,,,,38.7046700000,-76.9434700000,,,,GPS-Unspecified,NAD83,,,,,,,US,24,033,,,,,,,,,,STORET
CBP_WQX,Chesapeake Bay Program (CBP),CBP_WQX-27-020,27-020,River/Stream,,02070010,,,,,38.7080600000,-76.9398600000,,,,GPS-Unspecified,NAD83,,,,,,,US,24,033,,,,,,,,,,STORET
CBP_WQX,Chesapeake Bay Program (CBP),CBP_WQX-27-025,27-025,River/Stream,,02070010,,,,,38.7035300000,-76.9225600000,,,,GPS-Unspecified,NAD83,,,,,,,US,24,033,,,,,,,,,,STORET
CBP_WQX,Chesapeake Bay Program (CBP),CBP_WQX-27-030,27-030,River/Stream,,02070010,,,,,38.7114400000,-76.9319400000,,,,GPS-Unspecified,NAD83,,,,,,,US,24,033,,,,,,,,,,STORET
CBP_WQX,Chesapeake Bay Program (CBP),CBP_WQX-27-031,27-031,River/Stream,,02070010,,,,,38.7112200000,-76.9056700000,,,,GPS-Unspecified,NAD83,,,,,,,US,24,033,,,,,,,,,,STORET
CBP_WQX,Chesapeake Bay Program (CBP),CBP_WQX-27-034,27-034,River/Stream,,02070010,,,,,38.7170800000,-76.9117500000,,,,GPS-Unspecified,NAD83,,,,,,,US,24,033,,,,,,,,,,STORET
CBP_WQX,Chesapeake Bay Program (CBP),CBP_WQX-27-040,27-040,River/Stream,,02070010,,,,,38.7215800000,-76.9059700000,,,,GPS-Unspecified,NAD83,,,,,,,US,24,033,,,,,,,,,,STORET
CBP_WQX,Chesapeake Bay Program (CBP),CBP_WQX-27-041,27-041,River/Stream,,02070010,,,,,38.7311900000,-76.9081400000,,,,GPS-Unspecified,NAD83,,,,,,,US,24,033,,,,,,,,,,STORET
CBP_WQX,Chesapeake Bay Program (CBP),CBP_WQX-27-042,27-042,River/Stream,,02070010,,,,,38.7272500000,-76.8987800000,,,,GPS-Unspecified,NAD83,,,,,,,US,24,033,,,,,,,,,,STORET
CBP_WQX,Chesapeake Bay Program (CBP),CBP_WQX-27-045,27-045,River/Stream,,02070010,,,,,38.7272500000,-76.8836400000,,,,GPS-Unspecified,NAD83,,,,,,,US,24,033,,,,,,,,,,STORET
CBP_WQX,Chesapeake Bay Program (CBP),CBP_WQX-27-046,27-046,River/Stream,,02070010,,,,,38.7616700000,-76.8742800000,,,,GPS-Unspecified,NAD83,,,,,,,US,24,033,,,,,,,,,,STORET
CBP_WQX,Chesapeake Bay Program (CBP),CBP_WQX-27-054,27-054,River/Stream,,02070010,,,,,38.7288900000,-76.8634400000,,,,GPS-Unspecified,NAD83,,,,,,,US,24,033,,,,,,,,,,STORET
CBP_WQX,Chesapeake Bay Program (CBP),CBP_WQX-27-055,27-055,River/Stream,,02070010,,,,,38.7295000000,-76.8569700000,,,,GPS-Unspecified,NAD83,,,,,,,US,24,033,,,,,,,,,,STORET
CBP_WQX,Chesapeake Bay Program (CBP),CBP_WQX-27-061,27-061,River/Stream,,02070010,,,,,38.7368300000,-76.8475800000,,,,GPS-Unspecified,NAD83,,,,,,,US,24,033,,,,,,,,,,STORET
CBP_WQX,Chesapeake Bay Program (CBP),CBP_WQX-27-068,27-068,River/Stream,,02070010,,,,,38.7543300000,-76.8426700000,,,,GPS-Unspecified,NAD83,,,,,,,US,24,033,,,,,,,,,,STORET
CBP_WQX,Chesapeake Bay Program (CBP),CBP_WQX-27-070,27-070,River/Stream,,02070010,,,,,38.7528200000,-76.8315900000,,,,GPS-Unspecified,NAD83,,,,,,,US,24,033,,,,,,,,,,STORET
CBP_WQX,Chesapeake Bay Program (CBP),CBP_WQX-27-076,27-076,River/Stream,,02070010,,,,,38.7735800000,-76.8519200000,,,,GPS-Unspecified,NAD83,,,,,,,US,24,033,,,,,,,,,,STORET
CBP_WQX,Chesapeake Bay Program (CBP),CBP_WQX-27-082,27-082,River/Stream,,02070010,,,,,38.7058600000,-76.9337700000,,,,GPS-Unspecified,NAD83,,,,,,,US,24,033,,,,,,,,,,STORET
CBP_WQX,Chesapeake Bay Program (CBP),CBP_WQX-27-083,27-083,River/Stream,,02070010,,,,,38.7490300000,-76.9090500000,,,,GPS-Unspecified,NAD83,,,,,,,US,24,033,,,,,,,,,,STORET
CBP_WQX,Chesapeake Bay Program (CBP),CBP_WQX-27-086,27-086,River/Stream,,02070010,,,,,38.7238600000,-76.8814700000,,,,GPS-Unspecified,NAD83,,,,,,,US,24,033,,,,,,,,,,STORET
CBP_WQX,Chesapeake Bay Program (CBP),CBP_WQX-27-201,27-201,River/Stream,,02070010,,,,,38.7531100000,-76.8358600000,,,,GPS-Unspecified,NAD83,,,,,,,US,24,033,,,,,,,,,,STORET
CBP_WQX,Chesapeake Bay Program (CBP),CBP_WQX-27-202,27-202,River/Stream,,02070010,,,,,38.6724400000,-77.0062300000,,,,GPS-Unspecified,NAD83,,,,,,,US,24,033,,,,,,,,,,STORET
CBP_WQX,Chesapeake Bay Program (CBP),CBP_WQX-27-204,27-204,River/Stream,,02070010,,,,,38.7132100000,-76.9395100000,,,,GPS-Unspecified,NAD83,,,,,,,US,24,033,,,,,,,,,,STORET
